compound,salinity,group,headspace_mL,date,day,umoles.mean,umoles.sd
DBT,brackish,sterile_control,97,2015-10-23,430,NA,NA
PHEN,brackish,sterile_control,97,2015-10-23,430,NA,NA
26-diMN,fresh,sterile_control,97,2015-10-23,430,NA,NA
DBT,fresh,sterile_control,97,2015-10-23,430,NA,NA
PHEN,fresh,sterile_control,97,2015-10-23,430,NA,NA
26-diMN,saline,sterile_control,97,2015-10-23,430,NA,NA
DBT,saline,sterile_control,97,2015-10-23,430,NA,NA
PHEN,saline,sterile_control,97,2015-10-23,430,NA,NA
medium_only,brackish,medium_only_control,100,2015-10-23,430,NA,NA
medium_only,fresh,medium_only_control,100,2015-10-23,430,NA,NA
medium_only,saline,medium_only_control,100,2015-10-23,430,NA,NA
26-diMN,brackish,treatment,77,2015-12-03,471,120.4,78.4624751075315
DBT,brackish,treatment,77,2015-12-03,471,140.233333333333,7.08119575589697
PHEN,brackish,treatment,77,2015-12-03,471,163,11.5295273103454
26-diMN,fresh,treatment,77,2015-12-03,471,30,21.519526017085
DBT,fresh,treatment,77,2015-12-03,471,NA,NA
PHEN,fresh,treatment,77,2015-12-03,471,93.5666666666667,63.9551665882697
26-diMN,saline,treatment,77,2015-12-03,471,62.2,44.2546042802328
DBT,saline,treatment,77,2015-12-03,471,11.1,2.88270706107991
PHEN,saline,treatment,77,2015-12-03,471,38.0333333333333,22.8073087700705
none,brackish,unamended_control,77,2015-12-03,471,33.1666666666667,5.17912476518314
none,fresh,unamended_control,77,2015-12-03,471,NA,NA
none,saline,unamended_control,77,2015-12-03,471,27.1,18.6394742415123
26-diMN,brackish,sterile_control,97,2015-12-03,471,NA,NA
DBT,brackish,sterile_control,97,2015-12-03,471,NA,NA
PHEN,brackish,sterile_control,97,2015-12-03,471,NA,NA
26-diMN,fresh,sterile_control,97,2015-12-03,471,NA,NA
DBT,fresh,sterile_control,97,2015-12-03,471,NA,NA
PHEN,fresh,sterile_control,97,2015-12-03,471,NA,NA
26-diMN,saline,sterile_control,97,2015-12-03,471,NA,NA
DBT,saline,sterile_control,97,2015-12-03,471,NA,NA
PHEN,saline,sterile_control,97,2015-12-03,471,NA,NA
medium_only,brackish,medium_only_control,100,2015-12-03,471,NA,NA
medium_only,fresh,medium_only_control,100,2015-12-03,471,NA,NA
medium_only,saline,medium_only_control,100,2015-12-03,471,NA,NA
26-diMN,brackish,treatment,77,2016-01-05,504,131.6,85.3971896493087
DBT,brackish,treatment,77,2016-01-05,504,139.066666666667,8.50490054811538
PHEN,brackish,treatment,77,2016-01-05,504,166.333333333333,15.3913395561703
26-diMN,fresh,treatment,77,2016-01-05,504,50.2,29.2887350358461
DBT,fresh,treatment,77,2016-01-05,504,NA,NA
PHEN,fresh,treatment,77,2016-01-05,504,60.3666666666667,67.0592524066093
26-diMN,saline,treatment,77,2016-01-05,504,104.566666666667,6.23244200400881
DBT,saline,treatment,77,2016-01-05,504,12.5333333333333,3.40783411176855
PHEN,saline,treatment,77,2016-01-05,504,40.8,24.2538656712698
none,brackish,unamended_control,77,2016-01-05,504,40.3333333333333,10.5291658422371
none,fresh,unamended_control,77,2016-01-05,504,NA,NA
none,saline,unamended_control,77,2016-01-05,504,29.5666666666667,20.7668806837554
26-diMN,brackish,sterile_control,97,2016-01-05,504,NA,NA
DBT,brackish,sterile_control,97,2016-01-05,504,NA,NA
PHEN,brackish,sterile_control,97,2016-01-05,504,NA,NA
26-diMN,fresh,sterile_control,97,2016-01-05,504,NA,NA
DBT,fresh,sterile_control,97,2016-01-05,504,NA,NA
PHEN,fresh,sterile_control,97,2016-01-05,504,NA,NA
26-diMN,saline,sterile_control,97,2016-01-05,504,NA,NA
DBT,saline,sterile_control,97,2016-01-05,504,NA,NA
PHEN,saline,sterile_control,97,2016-01-05,504,NA,NA
medium_only,brackish,medium_only_control,100,2016-01-05,504,NA,NA
medium_only,fresh,medium_only_control,100,2016-01-05,504,NA,NA
medium_only,saline,medium_only_control,100,2016-01-05,504,NA,NA
26-diMN,brackish,treatment,77,2016-03-01,560,132.6,87.1621477477466
DBT,brackish,treatment,77,2016-03-01,560,160.233333333333,9.69346859144514
PHEN,brackish,treatment,77,2016-03-01,560,186.5,10.7056060080689
26-diMN,fresh,treatment,77,2016-03-01,560,50.5666666666667,32.1876270224031
DBT,fresh,treatment,77,2016-03-01,560,NA,NA
PHEN,fresh,treatment,77,2016-03-01,560,68.1666666666667,83.0816666499495
26-diMN,saline,treatment,77,2016-03-01,560,134.8,10.5588825166302
DBT,saline,treatment,77,2016-03-01,560,10,4.1
PHEN,saline,treatment,77,2016-03-01,560,47.3333333333333,33.5145242146347
none,brackish,unamended_control,77,2016-03-01,560,44.2,9.4175368329516
none,fresh,unamended_control,77,2016-03-01,560,NA,NA
none,saline,unamended_control,77,2016-03-01,560,33.1666666666667,30.4851329886116
26-diMN,brackish,sterile_control,97,2016-03-01,560,NA,NA
DBT,brackish,sterile_control,97,2016-03-01,560,NA,NA
PHEN,brackish,sterile_control,97,2016-03-01,560,NA,NA
26-diMN,fresh,sterile_control,97,2016-03-01,560,NA,NA
DBT,fresh,sterile_control,97,2016-03-01,560,NA,NA
PHEN,fresh,sterile_control,97,2016-03-01,560,NA,NA
26-diMN,saline,sterile_control,97,2016-03-01,560,NA,NA
DBT,saline,sterile_control,97,2016-03-01,560,NA,NA
PHEN,saline,sterile_control,97,2016-03-01,560,NA,NA
medium_only,brackish,medium_only_control,100,2016-03-01,560,NA,NA
medium_only,fresh,medium_only_control,100,2016-03-01,560,NA,NA
medium_only,saline,medium_only_control,100,2016-03-01,560,NA,NA
26-diMN,brackish,treatment,77,2016-04-22,612,154.6,101.323689234058
DBT,brackish,treatment,77,2016-04-22,612,164.8,10.9503424603982
PHEN,brackish,treatment,77,2016-04-22,612,192.666666666667,8.63095205254515
26-diMN,fresh,treatment,77,2016-04-22,612,55.3,33.9518777094876
DBT,fresh,treatment,77,2016-04-22,612,NA,NA
PHEN,fresh,treatment,77,2016-04-22,612,68.4333333333333,79.6467408833113
26-diMN,saline,treatment,77,2016-04-22,612,146.866666666667,8.85569496614091
DBT,saline,treatment,77,2016-04-22,612,13.5,5.20864665724217
PHEN,saline,treatment,77,2016-04-22,612,55.3666666666667,38.7190306352488
none,brackish,unamended_control,77,2016-04-22,612,47.1,8.38033412221732
none,fresh,unamended_control,77,2016-04-22,612,NA,NA
none,saline,unamended_control,77,2016-04-22,612,41.9333333333333,37.0616153632479
26-diMN,brackish,sterile_control,97,2016-04-22,612,NA,NA
DBT,brackish,sterile_control,97,2016-04-22,612,NA,NA
PHEN,brackish,sterile_control,97,2016-04-22,612,NA,NA
26-diMN,fresh,sterile_control,97,2016-04-22,612,NA,NA
DBT,fresh,sterile_control,97,2016-04-22,612,NA,NA
PHEN,fresh,sterile_control,97,2016-04-22,612,NA,NA
26-diMN,saline,sterile_control,97,2016-04-22,612,NA,NA
DBT,saline,sterile_control,97,2016-04-22,612,NA,NA
PHEN,saline,sterile_control,97,2016-04-22,612,NA,NA
medium_only,brackish,medium_only_control,100,2016-04-22,612,NA,NA
medium_only,fresh,medium_only_control,100,2016-04-22,612,NA,NA
medium_only,saline,medium_only_control,100,2016-04-22,612,NA,NA
26-diMN,brackish,treatment,77,2016-07-11,692,166.366666666667,108.69601341969
DBT,brackish,treatment,77,2016-07-11,692,197.6,26.3455878659027
PHEN,brackish,treatment,77,2016-07-11,692,203.266666666667,28.949323538441
26-diMN,fresh,treatment,77,2016-07-11,692,58.5,37.7278411786309
DBT,fresh,treatment,77,2016-07-11,692,NA,NA
PHEN,fresh,treatment,77,2016-07-11,692,74.8666666666667,91.8442340777761
26-diMN,saline,treatment,77,2016-07-11,692,176.133333333333,11.8685859871062
DBT,saline,treatment,77,2016-07-11,692,13.6333333333333,7.05998111423347
PHEN,saline,treatment,77,2016-07-11,692,65.6333333333333,50.330640104546
none,brackish,unamended_control,77,2016-07-11,692,48.5666666666667,5.90451804411955
none,fresh,unamended_control,77,2016-07-11,692,NA,NA
none,saline,unamended_control,77,2016-07-11,692,51.3,45.4924169505204
26-diMN,brackish,sterile_control,97,2016-07-11,692,NA,NA
DBT,brackish,sterile_control,97,2016-07-11,692,NA,NA
PHEN,brackish,sterile_control,97,2016-07-11,692,NA,NA
26-diMN,fresh,sterile_control,97,2016-07-11,692,NA,NA
DBT,fresh,sterile_control,97,2016-07-11,692,NA,NA
PHEN,fresh,sterile_control,97,2016-07-11,692,NA,NA
26-diMN,saline,sterile_control,97,2016-07-11,692,NA,NA
DBT,saline,sterile_control,97,2016-07-11,692,NA,NA
PHEN,saline,sterile_control,97,2016-07-11,692,NA,NA
medium_only,brackish,medium_only_control,100,2016-07-11,692,NA,NA
medium_only,fresh,medium_only_control,100,2016-07-11,692,NA,NA
medium_only,saline,medium_only_control,100,2016-07-11,692,NA,NA
26-diMN,brackish,treatment,77,2016-09-19,762,184.5,120.94478078859
DBT,brackish,treatment,77,2016-09-19,762,200.3,11.7477657450257
PHEN,brackish,treatment,77,2016-09-19,762,77.7333333333333,60.1199079617836
26-diMN,fresh,treatment,77,2016-09-19,762,62.6333333333333,40.7345471723123
DBT,fresh,treatment,77,2016-09-19,762,46,55.0700463046836
PHEN,fresh,treatment,77,2016-09-19,762,81.9333333333333,99.4141002742233
26-diMN,saline,treatment,77,2016-09-19,762,194.333333333333,12.9001291983194
DBT,saline,treatment,77,2016-09-19,762,15.3,7.05478560978291
PHEN,saline,treatment,77,2016-09-19,762,77.7333333333333,60.1199079617836
none,brackish,unamended_control,77,2016-09-19,762,234.533333333333,18.5141387413332
none,fresh,unamended_control,77,2016-09-19,762,NA,NA
none,saline,unamended_control,77,2016-09-19,762,56.2666666666667,50.0046331186754
26-diMN,brackish,sterile_control,97,2016-09-19,762,NA,NA
DBT,brackish,sterile_control,97,2016-09-19,762,NA,NA
PHEN,brackish,sterile_control,97,2016-09-19,762,NA,NA
26-diMN,fresh,sterile_control,97,2016-09-19,762,NA,NA
DBT,fresh,sterile_control,97,2016-09-19,762,NA,NA
PHEN,fresh,sterile_control,97,2016-09-19,762,NA,NA
26-diMN,saline,sterile_control,97,2016-09-19,762,NA,NA
DBT,saline,sterile_control,97,2016-09-19,762,NA,NA
PHEN,saline,sterile_control,97,2016-09-19,762,NA,NA
medium_only,brackish,medium_only_control,100,2016-09-19,762,NA,NA
medium_only,fresh,medium_only_control,100,2016-09-19,762,NA,NA
medium_only,saline,medium_only_control,100,2016-09-19,762,NA,NA
26-diMN,brackish,treatment,77,2016-09-27,770,166.266666666667,118.115254448074
DBT,brackish,treatment,77,2016-09-27,770,54.9,39.5838350845392
PHEN,brackish,treatment,77,2016-09-27,770,238.966666666667,18.252762348021
26-diMN,fresh,treatment,77,2016-09-27,770,66.7666666666667,41.8001594893289
DBT,fresh,treatment,77,2016-09-27,770,NA,NA
PHEN,fresh,treatment,77,2016-09-27,770,NA,NA
26-diMN,saline,treatment,77,2016-09-27,770,226.133333333333,13.1089028272138
DBT,saline,treatment,77,2016-09-27,770,10.6666666666667,8.80927541477353
PHEN,saline,treatment,77,2016-09-27,770,78.0666666666667,66.1323924664255
none,brackish,unamended_control,77,2016-09-27,770,55.4666666666667,3.86566078870525
none,fresh,unamended_control,77,2016-09-27,770,NA,NA
none,saline,unamended_control,77,2016-09-27,770,54.7333333333333,53.2587395019196
26-diMN,brackish,sterile_control,97,2016-09-27,770,NA,NA
DBT,brackish,sterile_control,97,2016-09-27,770,NA,NA
PHEN,brackish,sterile_control,97,2016-09-27,770,NA,NA
26-diMN,fresh,sterile_control,97,2016-09-27,770,NA,NA
DBT,fresh,sterile_control,97,2016-09-27,770,NA,NA
PHEN,fresh,sterile_control,97,2016-09-27,770,NA,NA
26-diMN,saline,sterile_control,97,2016-09-27,770,NA,NA
DBT,saline,sterile_control,97,2016-09-27,770,NA,NA
PHEN,saline,sterile_control,97,2016-09-27,770,NA,NA
medium_only,brackish,medium_only_control,100,2016-09-27,770,NA,NA
medium_only,fresh,medium_only_control,100,2016-09-27,770,NA,NA
medium_only,saline,medium_only_control,100,2016-09-27,770,NA,NA
26-diMN,brackish,treatment,77,2017-01-31,896,172.566666666667,106.481657262335
DBT,brackish,treatment,77,2017-01-31,896,112.8,19.365691312215
PHEN,brackish,treatment,77,2017-01-31,896,235.7,7.04485627958442
26-diMN,fresh,treatment,77,2017-01-31,896,NA,NA
DBT,fresh,treatment,77,2017-01-31,896,NA,NA
PHEN,fresh,treatment,77,2017-01-31,896,88,104.860240320152
26-diMN,saline,treatment,77,2017-01-31,896,208.3,27.7387815161373
DBT,saline,treatment,77,2017-01-31,896,17.9666666666667,6.0135957075059
PHEN,saline,treatment,77,2017-01-31,896,87.1333333333333,68.0353094601129
none,brackish,unamended_control,77,2017-01-31,896,54.8,2.22710574513201
none,fresh,unamended_control,77,2017-01-31,896,NA,NA
none,saline,unamended_control,77,2017-01-31,896,73.1666666666667,73.0335767529794
26-diMN,brackish,sterile_control,97,2017-01-31,896,NA,NA
DBT,brackish,sterile_control,97,2017-01-31,896,NA,NA
PHEN,brackish,sterile_control,97,2017-01-31,896,NA,NA
26-diMN,fresh,sterile_control,97,2017-01-31,896,NA,NA
DBT,fresh,sterile_control,97,2017-01-31,896,NA,NA
PHEN,fresh,sterile_control,97,2017-01-31,896,NA,NA
26-diMN,saline,sterile_control,97,2017-01-31,896,NA,NA
DBT,saline,sterile_control,97,2017-01-31,896,NA,NA
PHEN,saline,sterile_control,97,2017-01-31,896,NA,NA
medium_only,brackish,medium_only_control,100,2017-01-31,896,NA,NA
medium_only,fresh,medium_only_control,100,2017-01-31,896,NA,NA
medium_only,saline,medium_only_control,100,2017-01-31,896,NA,NA
26-diMN,brackish,treatment,77,2017-06-12,1028,172,116.537204359809
DBT,brackish,treatment,77,2017-06-12,1028,144.9,15.1403434571347
PHEN,brackish,treatment,77,2017-06-12,1028,191.566666666667,140.235813305066
26-diMN,fresh,treatment,77,2017-06-12,1028,NA,NA
DBT,fresh,treatment,77,2017-06-12,1028,NA,NA
PHEN,fresh,treatment,77,2017-06-12,1028,100.533333333333,118.353087553022
26-diMN,saline,treatment,77,2017-06-12,1028,247.033333333333,34.5209115368255
DBT,saline,treatment,77,2017-06-12,1028,20.7666666666667,7.87802851818482
PHEN,saline,treatment,77,2017-06-12,1028,106.366666666667,82.0624965092662
none,brackish,unamended_control,77,2017-06-12,1028,62.5333333333333,3.15013227235514
none,fresh,unamended_control,77,2017-06-12,1028,NA,NA
none,saline,unamended_control,77,2017-06-12,1028,78.8333333333333,68.677531502911
26-diMN,brackish,sterile_control,97,2017-06-12,1028,NA,NA
DBT,brackish,sterile_control,97,2017-06-12,1028,NA,NA
PHEN,brackish,sterile_control,97,2017-06-12,1028,NA,NA
26-diMN,fresh,sterile_control,97,2017-06-12,1028,NA,NA
DBT,fresh,sterile_control,97,2017-06-12,1028,NA,NA
PHEN,fresh,sterile_control,97,2017-06-12,1028,NA,NA
26-diMN,saline,sterile_control,97,2017-06-12,1028,NA,NA
DBT,saline,sterile_control,97,2017-06-12,1028,NA,NA
PHEN,saline,sterile_control,97,2017-06-12,1028,NA,NA
medium_only,brackish,medium_only_control,100,2017-06-12,1028,NA,NA
medium_only,fresh,medium_only_control,100,2017-06-12,1028,NA,NA
medium_only,saline,medium_only_control,100,2017-06-12,1028,NA,NA
26-diMN,brackish,treatment,77,2017-08-22,1099,212.133333333333,135.549412884502
DBT,brackish,treatment,77,2017-08-22,1099,158.033333333333,13.3500312109498
PHEN,brackish,treatment,77,2017-08-22,1099,279.366666666667,20.528110807703
26-diMN,fresh,treatment,77,2017-08-22,1099,NA,NA
DBT,fresh,treatment,77,2017-08-22,1099,NA,NA
PHEN,fresh,treatment,77,2017-08-22,1099,106.5,131.414496917197
26-diMN,saline,treatment,77,2017-08-22,1099,249.733333333333,27.048351767406
DBT,saline,treatment,77,2017-08-22,1099,17.9333333333333,8.45832922824203
PHEN,saline,treatment,77,2017-08-22,1099,114.366666666667,90.7610232056323
none,brackish,unamended_control,77,2017-08-22,1099,63.7666666666667,6.64253967495365
none,fresh,unamended_control,77,2017-08-22,1099,NA,NA
none,saline,unamended_control,77,2017-08-22,1099,94.7333333333333,79.1978745506048
26-diMN,brackish,sterile_control,97,2017-08-22,1099,NA,NA
DBT,brackish,sterile_control,97,2017-08-22,1099,NA,NA
PHEN,brackish,sterile_control,97,2017-08-22,1099,NA,NA
26-diMN,fresh,sterile_control,97,2017-08-22,1099,NA,NA
DBT,fresh,sterile_control,97,2017-08-22,1099,NA,NA
PHEN,fresh,sterile_control,97,2017-08-22,1099,NA,NA
26-diMN,saline,sterile_control,97,2017-08-22,1099,NA,NA
DBT,saline,sterile_control,97,2017-08-22,1099,NA,NA
PHEN,saline,sterile_control,97,2017-08-22,1099,NA,NA
medium_only,brackish,medium_only_control,100,2017-08-22,1099,NA,NA
medium_only,fresh,medium_only_control,100,2017-08-22,1099,NA,NA
medium_only,saline,medium_only_control,100,2017-08-22,1099,NA,NA
26-diMN,brackish,treatment,77,2018-05-03,1353,NA,NA
DBT,brackish,treatment,77,2018-05-03,1353,197.666666666667,11.3742399013443
PHEN,brackish,treatment,77,2018-05-03,1353,297.666666666667,12.0425634037498
26-diMN,fresh,treatment,77,2018-05-03,1353,NA,NA
DBT,fresh,treatment,77,2018-05-03,1353,NA,NA
PHEN,fresh,treatment,77,2018-05-03,1353,131.5,157.078992866647
26-diMN,saline,treatment,77,2018-05-03,1353,256.433333333333,32.8087386733067
DBT,saline,treatment,77,2018-05-03,1353,35.5333333333333,0.493288286231625
PHEN,saline,treatment,77,2018-05-03,1353,112.133333333333,81.7457236394255
none,brackish,unamended_control,77,2018-05-03,1353,61.7,24.2223037715243
none,fresh,unamended_control,77,2018-05-03,1353,NA,NA
none,saline,unamended_control,77,2018-05-03,1353,119.266666666667,74.5812532298388
26-diMN,brackish,sterile_control,97,2018-05-03,1353,NA,NA
DBT,brackish,sterile_control,97,2018-05-03,1353,NA,NA
PHEN,brackish,sterile_control,97,2018-05-03,1353,NA,NA
26-diMN,fresh,sterile_control,97,2018-05-03,1353,NA,NA
DBT,fresh,sterile_control,97,2018-05-03,1353,NA,NA
PHEN,fresh,sterile_control,97,2018-05-03,1353,NA,NA
26-diMN,saline,sterile_control,97,2018-05-03,1353,NA,NA
DBT,saline,sterile_control,97,2018-05-03,1353,NA,NA
PHEN,saline,sterile_control,97,2018-05-03,1353,NA,NA
medium_only,brackish,medium_only_control,100,2018-05-03,1353,NA,NA
medium_only,fresh,medium_only_control,100,2018-05-03,1353,NA,NA
medium_only,saline,medium_only_control,100,2018-05-03,1353,NA,NA
