compound,salinity,group,replicate,headspace_mL,replicate,2014-08-19,2014-09-03,2014-10-25,2014-11-04,2014-11-18,2014-12-04,2014-12-18,2015-01-08,2015-01-22,2015-02-05,2015-03-19,2015-04-23,2015-05-22,2015-07-02,2015-08-17,2015-09-15,2015-10-23,2015-12-03,2016-01-05,2016-03-01,2016-04-22,2016-07-11,2016-09-19,2016-09-27,2017-01-31,2017-06-12,2017-08-22,2018-05-03
DBT,fresh,treatment,3,77,3,26.9,18.8,20.3,16.8,24.4,25.7,16.6,12.6,30,33.2,44.6,48.7,55.9,68.1,61.8,72,79.1,80,86.6,78.4,97.3,105.7,108.5,13.3,104.1,114.4,123.1,131.3
DBT,saline,sterile_control,1,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DBT,saline,sterile_control,2,97,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DBT,saline,sterile_control,3,97,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DBT,saline,treatment,1,77,1,15.8,5.6,0.4,-6.6,-1.5,-5,-4.4,-4.6,-6.8,-6.8,-4.5,-2,4.9,8.7,6.5,6,5.1,8,9,5.9,8.8,7.4,8.4,2.1,11.2,12.2,9.7,35.3
DBT,saline,treatment,2,77,2,16.9,6.9,1.4,-4.4,-0.5,-4.2,-3.4,-3.6,-6.8,-5.9,-3.5,0,6.1,10.3,10.1,10.5,11,13.7,15.8,14.1,19.1,21.3,22.5,19.7,22.7,27.7,26.6,35.2
DBT,saline,treatment,3,77,3,15.1,4.7,-0.3,-6.7,-2.6,-5.6,-4.4,-3.9,-5.9,-5,-2.6,1.1,6.4,10.9,9.2,9.4,9.1,11.6,12.8,10,12.6,12.2,15,10.2,20,22.4,17.5,36.1
medium_only,brackish,medium_only_control,1,100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
medium_only,brackish,medium_only_control,2,100,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
medium_only,brackish,medium_only_control,3,100,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
medium_only,fresh,medium_only_control,1,100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
medium_only,fresh,medium_only_control,2,100,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
medium_only,fresh,medium_only_control,3,100,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
medium_only,saline,medium_only_control,1,100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
medium_only,saline,medium_only_control,2,100,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
medium_only,saline,medium_only_control,3,100,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
none,brackish,unamended_control,1,77,1,18.2,7.8,5.4,3.5,4.4,3.7,NA,5.7,4.1,5.4,10.5,13.5,19.4,23.9,24.5,22.8,26.1,27.2,31.8,35.5,39.7,42.8,213.2,53.7,56.8,64.5,70.8,82.9
none,brackish,unamended_control,2,77,2,NA,NA,6.6,3.6,6.2,4.5,8.3,12.3,12.1,16.2,28.5,33.4,40.9,46.2,24.8,47.6,47.8,36.5,52.1,54.2,56.2,54.6,246.4,59.9,52.4,58.9,57.6,66.9
none,brackish,unamended_control,3,77,3,17.5,9.5,4.7,0.6,4,2.1,3.1,6.3,4.2,6.1,7.1,NA,15.6,14.1,24.4,27.2,31.4,35.8,37.1,42.9,45.4,48.3,244,52.8,55.2,64.2,62.9,35.3
none,fresh,unamended_control,1,77,1,NA,6.6,22.7,36.2,30.3,37.7,35.5,43,41.2,48.3,56.1,NA,61.2,68.7,63.8,65.5,68.2,72.5,74.1,82.6,89,101.6,115.3,55.7,136.9,165.9,176,223.8
none,fresh,unamended_control,2,77,2,17.7,7.5,2.6,-3,0.4,-3,-2.7,-2.7,-4.7,-10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
none,fresh,unamended_control,3,77,3,17.1,7.5,6.3,5.6,8.1,13.6,26.3,-2.7,41.9,50.3,62.6,81.4,92,104.4,18.7,130.2,143.5,157.9,163.2,188.3,195.3,226.8,237,283.7,259.9,289.6,300.5,356.8
none,saline,unamended_control,1,77,1,12.9,2.6,-1.7,-9,-4.2,-7.9,-6.8,-7.4,-9.2,-9.6,-7.2,-3.2,3.1,7.4,5.7,5,4.9,28.5,9.3,6.5,10.5,14.9,16.8,12,19.8,27.3,28.6,52.4
none,saline,unamended_control,2,77,2,14.5,4.7,0.2,-5.8,-1.2,-4,-2.6,0.5,1.3,5.1,10.9,16.7,23.6,34.8,35,35.1,42.3,45,50.8,66.4,82.8,102.3,112.5,114.4,156.4,156.8,182.5,199.7
none,saline,unamended_control,3,77,3,12,1.5,-2.2,-9.6,-4.5,-7.3,-5.9,-4.1,-6,-2.5,1.3,8.2,17.2,24.3,22.9,24,25.8,7.8,28.6,26.6,32.5,36.7,39.5,37.8,43.3,52.4,73.1,105.7
PHEN,brackish,sterile_control,1,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHEN,brackish,sterile_control,2,97,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHEN,brackish,sterile_control,3,97,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHEN,brackish,treatment,1,77,1,19.2,12.1,7.8,7.6,10.2,4.4,19.1,39.1,45.1,58.1,73.1,NA,93.6,108.4,112.6,125.3,137.8,149.8,149,175.6,183,169.9,89.5,220.9,227.6,29.9,256,299.8
PHEN,brackish,treatment,2,77,2,20.7,13.5,7.5,7.8,9.2,10.7,20.8,58.7,63.6,73.2,92.2,NA,105.9,128,128.9,140.7,156.3,168.1,171.6,197,199.6,221.7,12.6,238.6,239.1,264.4,287.6,284.7
PHEN,brackish,treatment,3,77,3,22.1,15.1,11.6,14.5,16.2,22.5,34.1,57.8,62.4,80.1,92.9,NA,119.3,118.5,140,148.6,164.2,171.1,178.4,186.9,195.4,218.2,131.1,257.4,240.4,280.4,294.5,308.5
PHEN,fresh,sterile_control,1,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHEN,fresh,sterile_control,2,97,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHEN,fresh,sterile_control,3,97,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHEN,fresh,treatment,1,77,1,30.8,19.2,12.5,13.7,12.2,10.2,10.6,9.6,8.1,8.4,10.2,12.9,18,19.7,108.7,19.2,18.8,123.8,21.6,19.8,22,20.1,22.4,10.5,21.8,23.4,20.8,25
PHEN,fresh,treatment,2,77,2,30.6,22.2,30.6,49.6,40.9,36.5,54.6,66.3,65.3,78.1,80,89.6,96.6,103.3,17.8,117.6,130.5,136.8,137.8,164.1,160.4,180.9,196.7,186.5,208.9,236.8,257.8,311.9
PHEN,fresh,treatment,3,77,3,17,6.7,5.1,1,5.5,2.3,3.5,0.7,3.3,3.4,7.3,8.9,16.8,20.2,118.1,18.3,18.6,20.1,21.7,20.6,22.9,23.6,26.7,NA,33.3,41.4,40.9,57.6
PHEN,saline,sterile_control,1,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHEN,saline,sterile_control,2,97,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHEN,saline,sterile_control,3,97,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHEN,saline,treatment,1,77,1,22.8,14.3,7.8,8.4,10,8.4,10.5,14,12.4,14.3,20.8,29.1,33.5,41.5,39.7,43.2,45.9,51.5,54.3,59.2,65.8,75.5,89.5,89.4,96.5,125.9,137.1,147.9
PHEN,saline,treatment,2,77,2,15.7,5.7,0,-5.7,-1.7,-5.3,-4.4,-4.6,-6.3,-6.3,-2.7,-1.3,7.6,11.6,9.9,10,9.4,11.7,12.8,9.5,12.5,11.1,12.6,7,14.9,16.3,14.4,18.6
PHEN,saline,treatment,3,77,3,16.3,5.8,2.4,-1.6,1.1,0.5,1.5,4,NA,5.2,12.9,14.1,27.6,37.3,40,44.4,22.2,50.9,55.3,73.3,87.8,110.3,131.1,137.8,150,176.9,191.6,169.9
